Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category,is_anomaly
500 S SPRING ST,34.0467,-118.252,5/30/2020 0:00,5/29/2020 0:00,2115,1,Central,153,1,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
600 S HILL ST,34.0474,-118.2531,5/30/2020 0:00,5/30/2020 0:00,400,1,Central,153,1,0,X,X,JEWELRY STORE,500,IC,Invest Cont,Property Crimes,1
BEACHY,34.2379,-118.4274,5/31/2020 0:00,5/31/2020 0:00,1200,19,Mission,1977,1,75,M,O,SIDEWALK,102,IC,Invest Cont,Property Crimes,1
KOHLER ST,34.0375,-118.2423,5/31/2020 0:00,5/31/2020 0:00,110,1,Central,158,2,0,M,W,STREET,102,IC,Invest Cont,Crimes against Public Order,1
1200 S UNION AV,34.0472,-118.2782,5/31/2020 0:00,5/31/2020 0:00,35,2,Rampart,285,1,0,X,X,DRUG STORE,500,AA,Adult Arrest,Property Crimes,1
SPRING,34.0474,-118.2496,6/5/2020 0:00,5/29/2020 0:00,2200,1,Central,154,1,0,M,X,STREET,500,IC,Invest Cont,Violent Crimes,1
9400 N SEPULVEDA BL,34.2427,-118.4702,6/5/2020 0:00,6/4/2020 0:00,2320,19,Mission,1961,1,48,M,A,PARKING LOT,204,IC,Invest Cont,Property Crimes,1
300 S VIRGIL AV,34.069,-118.2868,6/5/2020 0:00,6/5/2020 0:00,1530,20,Olympic,2029,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",306,IC,Invest Cont,Property Crimes,1
7TH ST,34.0565,-118.2768,6/5/2020 0:00,6/5/2020 0:00,200,2,Rampart,246,1,65,F,O,SIDEWALK,304,IC,Invest Cont,Violent Crimes,1
CENTRAL AV,33.947,-118.2594,6/5/2020 0:00,6/5/2020 0:00,247,18,Southeast,1824,1,0,X,X,VACANT LOT,506,IC,Invest Cont,Property Crimes,1
SPRING ST,34.0517,-118.2456,6/6/2020 0:00,5/29/2020 0:00,2215,1,Central,135,1,54,F,O,STREET,306,IC,Invest Cont,Violent Crimes,1
10300 N SEPULVEDA BL,34.261,-118.4698,6/7/2020 0:00,6/7/2020 0:00,1935,19,Mission,1951,1,0,M,O,DRUG STORE,221,IC,Invest Cont,Property Crimes,1
SPRING ST,34.0517,-118.2456,6/8/2020 0:00,5/29/2020 0:00,2230,1,Central,133,1,0,F,O,STREET,500,IC,Invest Cont,Violent Crimes,1
NORTON,34.0817,-118.317,6/8/2020 0:00,6/2/2020 0:00,1730,20,Olympic,2001,2,0,X,X,STREET,500,IC,Invest Cont,Violent Crimes,1
3500 EAGLE ROCK BL,34.1155,-118.2358,6/9/2020 0:00,6/9/2020 0:00,30,11,Northeast,1135,2,0,M,O,OTHER BUSINESS,310,IC,Invest Cont,Property Crimes,1
BEVERLY BL,34.0761,-118.3637,6/11/2020 0:00,5/30/2020 0:00,1400,7,Wilshire,723,1,0,F,O,STREET,500,IC,Invest Cont,Violent Crimes,1
PICO BL,34.0461,-118.2801,6/11/2020 0:00,6/11/2020 0:00,635,2,Rampart,291,2,0,X,X,STREET,102,AA,Adult Arrest,Crimes against Public Order,1
400 S ARDMORE AV,34.0672,-118.3016,6/11/2020 0:00,6/11/2020 0:00,100,20,Olympic,2023,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",219,IC,Invest Cont,Property Crimes,1
600 S SPRING ST,34.046,-118.2509,6/13/2020 0:00,6/12/2020 0:00,2330,1,Central,164,1,0,M,W,MARKET,113,AA,Adult Arrest,Property Crimes,1
22300 LEADWELL ST,34.2037,-118.6119,6/13/2020 0:00,6/13/2020 0:00,15,21,Topanga,2134,2,57,M,O,CONDOMINIUM/TOWNHOUSE,500,AO,Adult Other,Violent Crimes,1
3800 W 7TH ST,34.0597,-118.3091,6/14/2020 0:00,6/13/2020 0:00,1740,20,Olympic,2031,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes,1
800 N ALAMEDA ST,34.0561,-118.2375,6/14/2020 0:00,6/14/2020 0:00,1850,1,Central,119,2,0,X,X,LA UNION STATION (NOT LINE SPECIFIC),400,AA,Adult Arrest,Property Crimes,1
400 WORLD WAY,33.9431,-118.4081,6/16/2020 0:00,5/30/2020 0:00,2340,14,Pacific,1494,1,0,X,X,TRANSPORTATION FACILITY (AIRPORT),302,AA,Adult Arrest,Property Crimes,1
23200 VANOWEN ST,34.1937,-118.6327,6/17/2020 0:00,6/17/2020 0:00,54,21,Topanga,2142,2,44,F,O,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes,1
1400 W 55TH ST,33.9923,-118.3002,6/18/2020 0:00,6/18/2020 0:00,2300,12,77th Street,1215,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
1100 ABBOT KINNEY BL,33.9918,-118.4703,6/19/2020 0:00,6/19/2020 0:00,605,14,Pacific,1431,1,0,X,X,CLOTHING STORE,306,AA,Adult Arrest,Property Crimes,1
500 N FIGUEROA ST,34.0615,-118.247,6/20/2020 0:00,6/20/2020 0:00,310,1,Central,111,1,0,X,X,OTHER BUSINESS,221,IC,Invest Cont,Property Crimes,1
800 N VAN NESS AV,34.085,-118.3157,6/21/2020 0:00,6/21/2020 0:00,130,6,Hollywood,677,2,0,X,X,STREET,109,AA,Adult Arrest,Crimes against Public Order,1
3900 S FIGUEROA ST,34.014,-118.2827,6/21/2020 0:00,6/21/2020 0:00,430,3,Southwest,359,1,19,X,X,MINI-MART,400,IC,Invest Cont,Property Crimes,1
200 E 88TH ST,33.9572,-118.2717,6/21/2020 0:00,6/21/2020 0:00,2230,18,Southeast,1803,2,0,X,X,STREET,500,IC,Invest Cont,Other Crimes,1
300 E 2ND ST,34.0498,-118.24,6/22/2020 0:00,6/22/2020 0:00,532,1,Central,128,1,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
200 E MARTIN LUTHER KING JR BL,34.0112,-118.2716,6/23/2020 0:00,6/23/2020 0:00,2115,13,Newton,1354,1,0,X,X,PARKING LOT,109,IC,Invest Cont,Property Crimes,1
1500 S BEVERLY DR,34.0495,-118.3953,6/25/2020 0:00,4/28/2020 0:00,200,8,West LA,857,1,38,F,O,GARAGE/CARPORT,500,IC,Invest Cont,Property Crimes,1
500 S HOBART BL,34.0636,-118.3053,6/26/2020 0:00,6/26/2020 0:00,520,20,Olympic,2024,1,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Property Crimes,1
01500 E 92ND ST,33.9533,-118.2475,6/27/2020 0:00,6/23/2020 0:00,802,18,Southeast,1826,1,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",506,IC,Invest Cont,Property Crimes,1
7600 S BROADWAY,33.9703,-118.2783,6/29/2020 0:00,6/29/2020 0:00,15,12,77th Street,1258,2,0,X,X,POLICE FACILITY,306,AA,Adult Arrest,Property Crimes,1
1ST,34.055,-118.2477,6/30/2020 0:00,6/30/2020 0:00,1840,1,Central,122,2,0,X,X,STREET,400,IC,Invest Cont,Property Crimes,1
SUNSET BL,34.0898,-118.2769,6/30/2020 0:00,6/30/2020 0:00,505,11,Northeast,1171,2,0,X,X,STREET,500,AA,Adult Arrest,Property Crimes,1
6300 CRENSHAW BL,33.9825,-118.3309,6/30/2020 0:00,6/30/2020 0:00,1800,12,77th Street,1241,2,0,X,X,MOTEL,311,IC,Invest Cont,Property Crimes,1
700 S WESTERN AV,34.0599,-118.3139,7/2/2020 0:00,7/2/2020 0:00,2150,20,Olympic,2031,1,0,X,X,LIQUOR STORE,102,IC,Invest Cont,Property Crimes,1
SPRING,34.046,-118.251,7/5/2020 0:00,7/4/2020 0:00,1900,1,Central,153,2,32,F,O,SIDEWALK,500,AO,Adult Other,Violent Crimes,1
59TH ST,33.9872,-118.3352,7/5/2020 0:00,7/5/2020 0:00,152,12,77th Street,1232,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
6700 WHITSETT AV,34.1921,-118.4052,7/7/2020 0:00,7/2/2020 0:00,2110,15,N Hollywood,1513,2,0,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,IC,Invest Cont,Crimes against Public Order,1
2400 SAN MARCO DR,34.1145,-118.3312,7/8/2020 0:00,7/8/2020 0:00,335,6,Hollywood,615,1,0,F,X,SINGLE FAMILY DWELLING,109,AA,Adult Arrest,Crimes against Public Order,1
2400 SAN MARCO DR,34.1145,-118.3312,7/8/2020 0:00,7/8/2020 0:00,335,6,Hollywood,615,1,0,M,X,SINGLE FAMILY DWELLING,109,AA,Adult Arrest,Crimes against Public Order,1
4800 2ND AV,33.995,-118.3193,7/9/2020 0:00,7/9/2020 0:00,1800,3,Southwest,392,1,62,F,B,SINGLE FAMILY DWELLING,102,IC,Invest Cont,Violent Crimes,1
9500 RESEDA BL,34.2427,-118.5361,7/10/2020 0:00,7/10/2020 0:00,2340,17,Devonshire,1767,2,0,X,X,DRIVEWAY,102,IC,Invest Cont,Crimes against Public Order,1
OLYMPIC,34.0175,-118.1975,7/13/2020 0:00,7/13/2020 0:00,1715,4,Hollenbeck,499,1,0,X,X,STREET,207,AA,Adult Arrest,Property Crimes,1
8TH ST,34.0581,-118.3091,7/13/2020 0:00,7/13/2020 0:00,1820,20,Olympic,2031,1,83,F,A,PARKING LOT,400,AO,Adult Other,Property Crimes,1
1000 N VERMONT AV,34.0898,-118.2917,7/13/2020 0:00,7/13/2020 0:00,2230,2,Rampart,202,1,0,X,X,OTHER BUSINESS,308,IC,Invest Cont,Property Crimes,1
3200 W PICO BL,34.0506,-118.3127,7/14/2020 0:00,7/13/2020 0:00,1913,20,Olympic,2062,1,0,X,X,LIQUOR STORE,102,IC,Invest Cont,Property Crimes,1
14TH,34.0417,-118.275,7/14/2020 0:00,7/14/2020 0:00,910,2,Rampart,299,2,26,X,X,"VEHICLE, PASSENGER/TRUCK",500,AO,Adult Other,Violent Crimes,1
7600 S BROADWAY,33.9703,-118.2783,7/16/2020 0:00,7/16/2020 0:00,2225,12,77th Street,1258,2,0,X,X,LIQUOR STORE,400,AO,Adult Other,Violent Crimes,1
1600 S HOOVER ST,34.0421,-118.2879,7/16/2020 0:00,7/16/2020 0:00,1645,20,Olympic,2088,1,0,X,X,CELL PHONE STORE,101,AA,Adult Arrest,Property Crimes,1
118TH ST,33.9267,-118.2622,7/17/2020 0:00,7/17/2020 0:00,1330,18,Southeast,1864,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order,1
DE SOTO,34.2246,-118.5885,7/18/2020 0:00,7/18/2020 0:00,1800,17,Devonshire,1791,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,AA,Adult Arrest,Crimes against Persons,1
300 W 8TH ST,34.0437,-118.2547,7/23/2020 0:00,7/23/2020 0:00,130,1,Central,163,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",306,IC,Invest Cont,Property Crimes,1
22100 BURBANK BL,34.172,-118.6076,7/24/2020 0:00,7/24/2020 0:00,2145,21,Topanga,2175,1,39,F,O,DRIVEWAY,500,IC,Invest Cont,Property Crimes,1
7100 N SEPULVEDA BL,34.1938,-118.4702,7/26/2020 0:00,7/26/2020 0:00,815,9,Van Nuys,911,2,0,X,X,OTHER PREMISE,500,IC,Invest Cont,Crimes against Public Order,1
18100 GREEN MEADOW DR,34.1447,-118.5284,7/27/2020 0:00,7/27/2020 0:00,115,10,West Valley,1094,1,42,M,O,SINGLE FAMILY DWELLING,102,AA,Adult Arrest,Crimes against Persons,1
1100 GLENDALE BL,34.0763,-118.2613,7/27/2020 0:00,7/27/2020 0:00,1500,2,Rampart,218,2,0,X,X,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),501,IC,Invest Cont,Fraud and White-Collar Crimes,1
3900 S FIGUEROA ST,34.0137,-118.2828,7/27/2020 0:00,7/27/2020 0:00,200,3,Southwest,359,2,19,X,X,LIQUOR STORE,500,IC,Invest Cont,Property Crimes,1
600 WORLD WY,33.9429,-118.4032,7/29/2020 0:00,7/29/2020 0:00,1150,14,Pacific,1494,1,56,F,O,SIDEWALK,500,IC,Invest Cont,Property Crimes,1
15800 VANOWEN ST,34.1939,-118.4789,7/29/2020 0:00,7/29/2020 0:00,830,10,West Valley,1039,1,0,M,O,SIDEWALK,102,IC,Invest Cont,Violent Crimes,1
9800 MASON AV,34.2484,-118.5798,7/30/2020 0:00,7/30/2020 0:00,1335,17,Devonshire,1762,1,80,F,O,MINI-MART,400,AA,Adult Arrest,Property Crimes,1
8600 RESEDA BL,34.2264,-118.5361,7/31/2020 0:00,7/31/2020 0:00,230,17,Devonshire,1794,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
600 W 7TH ST,34.0491,-118.2558,8/4/2020 0:00,5/30/2020 0:00,400,1,Central,152,1,0,X,X,MINI-MART,500,IC,Invest Cont,Property Crimes,1
1700 SANTEE ST,34.0305,-118.262,8/5/2020 0:00,8/5/2020 0:00,115,1,Central,195,1,0,X,X,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),201,AA,Adult Arrest,Property Crimes,1
1900 HILLHURST AV,34.1054,-118.2874,8/5/2020 0:00,8/5/2020 0:00,1115,11,Northeast,1142,2,0,X,X,RESTAURANT/FAST FOOD,309,IC,Invest Cont,Property Crimes,1
4100 W 3RD ST,34.0726,-118.3029,8/6/2020 0:00,8/6/2020 0:00,25,20,Olympic,2014,2,50,M,O,PARKING LOT,400,IC,Invest Cont,Violent Crimes,1
200 N SPRING ST,34.0539,-118.2436,8/8/2020 0:00,8/8/2020 0:00,2250,1,Central,124,2,0,X,X,SIDEWALK,500,IC,Invest Cont,Property Crimes,1
700 S SPRING ST,34.0438,-118.2547,8/9/2020 0:00,8/9/2020 0:00,2252,1,Central,163,2,0,X,X,ALLEY,500,AA,Adult Arrest,Property Crimes,1
6300 S FIGUEROA ST,33.9819,-118.2827,8/10/2020 0:00,8/6/2020 0:00,2130,12,77th Street,1249,2,0,X,X,PARKING LOT,106,IC,Invest Cont,Crimes against Public Order,1
1600 W 209TH ST,33.8409,-118.3092,8/12/2020 0:00,8/11/2020 0:00,2340,5,Harbor,504,1,18,X,X,STREET,102,IC,Invest Cont,Violent Crimes,1
5500 W MANCHESTER AV,33.9599,-118.3782,8/12/2020 0:00,8/12/2020 0:00,1438,14,Pacific,1488,2,0,X,X,OTHER BUSINESS,212,AA,Adult Arrest,Property Crimes,1
5600 HOLLYWOOD BL,34.1038,-118.3151,8/12/2020 0:00,8/12/2020 0:00,55,6,Hollywood,638,2,0,X,X,OTHER BUSINESS,500,AA,Adult Arrest,Property Crimes,1
17400 COLLINS ST,34.1738,-118.5123,8/13/2020 0:00,8/11/2020 0:00,2300,10,West Valley,1047,2,63,F,O,SINGLE FAMILY DWELLING,511,IC,Invest Cont,Crimes against Public Order,1
16100 S AINSWORTH ST,33.8848,-118.2904,8/14/2020 0:00,8/13/2020 0:00,1200,18,Southeast,1881,2,26,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,IC,Invest Cont,Crimes against Public Order,1
7200 AMIGO AV,34.2012,-118.5386,8/14/2020 0:00,8/14/2020 0:00,1115,10,West Valley,1012,2,0,M,O,SINGLE FAMILY DWELLING,215,AA,Adult Arrest,Property Crimes,1
2ND,34.0569,-118.2536,8/16/2020 0:00,8/15/2020 0:00,2230,1,Central,131,1,26,F,A,STREET,500,IC,Invest Cont,Property Crimes,1
800 SANTEE ST,34.0401,-118.2533,8/17/2020 0:00,8/17/2020 0:00,545,1,Central,176,2,0,X,X,OTHER BUSINESS,400,IC,Invest Cont,Property Crimes,1
1000 S BROADWAY,34.0406,-118.2578,8/17/2020 0:00,8/17/2020 0:00,228,1,Central,185,1,0,X,X,MINI-MART,500,AA,Adult Arrest,Property Crimes,1
4600 S RAYMOND AV,34.0012,-118.298,8/19/2020 0:00,8/19/2020 0:00,2020,12,77th Street,1204,2,0,X,X,STREET,102,IC,Invest Cont,Other Crimes,1
84TH PL,33.9619,-118.2717,8/19/2020 0:00,8/19/2020 0:00,926,12,77th Street,1268,1,21,X,X,ALLEY,106,IC,Invest Cont,Violent Crimes,1
400 W 106TH ST,33.9401,-118.2819,8/20/2020 0:00,8/20/2020 0:00,1750,18,Southeast,1832,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
2500 ELSINORE ST,34.0805,-118.2685,8/20/2020 0:00,8/20/2020 0:00,2230,11,Northeast,1181,1,30,F,O,SINGLE FAMILY DWELLING,513,AA,Adult Arrest,Violent Crimes,1
15TH ST,34.0349,-118.263,8/20/2020 0:00,8/20/2020 0:00,350,1,Central,195,2,0,X,X,STREET,500,IC,Invest Cont,Property Crimes,1
14600 KITTRIDGE ST,34.1907,-118.4509,8/21/2020 0:00,8/20/2020 0:00,503,9,Van Nuys,923,2,0,X,X,STREET,107,AO,Adult Other,Crimes against Public Order,1
3000 BUCKINGHAM RD,34.0279,-118.343,8/22/2020 0:00,8/21/2020 0:00,2300,3,Southwest,332,1,42,M,A,STREET,102,IC,Invest Cont,Violent Crimes,1
500 W PACIFIC COAST HY,33.7948,-118.2694,8/22/2020 0:00,8/22/2020 0:00,1030,5,Harbor,515,2,0,X,X,GAS STATION,500,AO,Adult Other,Violent Crimes,1
ST ANDREWS,34.0655,-118.3114,8/22/2020 0:00,8/22/2020 0:00,430,20,Olympic,2022,1,43,M,O,STREET,200,IC,Invest Cont,Violent Crimes,1
3500 S LA CIENEGA BL,34.0237,-118.3722,8/23/2020 0:00,8/23/2020 0:00,1100,3,Southwest,321,1,19,X,X,DEPARTMENT STORE,204,IC,Invest Cont,Property Crimes,1
82ND ST,33.9643,-118.2827,8/24/2020 0:00,8/24/2020 0:00,2105,12,77th Street,1267,2,0,X,X,STREET,101,IC,Invest Cont,Crimes against Public Order,1
WEIGAND AV,33.9431,-118.2296,8/25/2020 0:00,8/25/2020 0:00,1810,18,Southeast,1839,1,0,X,X,STREET,106,IC,Invest Cont,Violent Crimes,1
800 W ROSECRANS AV,33.9019,-118.2898,8/25/2020 0:00,8/25/2020 0:00,1300,18,Southeast,1871,2,0,X,X,GAS STATION,400,IC,Invest Cont,Property Crimes,1
2200 VENICE BL,34.0454,-118.3072,8/27/2020 0:00,8/27/2020 0:00,700,20,Olympic,2073,2,63,M,A,APARTMENT/CONDO COMMON LAUNDRY ROOM,400,AO,Adult Other,Violent Crimes,1
WILSHIRE,34.0584,-118.2763,8/29/2020 0:00,8/29/2020 0:00,2105,2,Rampart,245,2,0,X,X,SIDEWALK,102,IC,Invest Cont,Crimes against Public Order,1
20500 W VENTURA BL,34.1685,-118.5777,8/30/2020 0:00,8/30/2020 0:00,1120,21,Topanga,2189,1,73,F,W,STREET,103,AO,Adult Other,Violent Crimes,1
22100 VICTORY BL,34.1865,-118.608,9/2/2020 0:00,9/2/2020 0:00,430,21,Topanga,2155,1,29,F,W,STREET,113,AA,Adult Arrest,Crimes against Public Order,1
7100 LINDLEY AV,34.1993,-118.5273,9/3/2020 0:00,9/3/2020 0:00,1330,10,West Valley,1025,1,68,F,O,RESTAURANT/FAST FOOD,500,AO,Adult Other,Violent Crimes,1
MAXELLA AV,33.986,-118.4428,9/5/2020 0:00,9/5/2020 0:00,2255,14,Pacific,1444,1,0,X,X,STREET,109,IC,Invest Cont,Violent Crimes,1
7TH,34.0496,-118.2603,9/6/2020 0:00,9/5/2020 0:00,2100,1,Central,161,1,20,F,W,PARKING UNDERGROUND/BUILDING,102,IC,Invest Cont,Property Crimes,1
4300 S FIGUEROA ST,34.0075,-118.2819,9/6/2020 0:00,9/6/2020 0:00,2242,3,Southwest,399,1,19,X,X,DRUG STORE,102,IC,Invest Cont,Property Crimes,1
100 N LOS ANGELES ST,34.0515,-118.2424,9/7/2020 0:00,9/6/2020 0:00,2130,1,Central,127,1,0,M,X,DETENTION/JAIL FACILITY,400,IC,Invest Cont,Violent Crimes,1
18400 ROSCOE BL,34.2251,-118.5372,9/7/2020 0:00,9/7/2020 0:00,750,17,Devonshire,1794,1,0,X,X,MINI-MART,113,AA,Adult Arrest,Property Crimes,1
15200 PLUMMER ST,34.2427,-118.4636,9/8/2020 0:00,9/8/2020 0:00,1300,19,Mission,1962,1,74,F,A,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),400,IC,Invest Cont,Violent Crimes,1
200 VENICE BL,34.0347,-118.2646,9/9/2020 0:00,9/7/2020 0:00,2000,1,Central,192,1,0,X,X,GARAGE/CARPORT,400,IC,Invest Cont,Property Crimes,1
11700 COHASSET ST,34.2067,-118.3878,9/9/2020 0:00,9/9/2020 0:00,2000,15,N Hollywood,1504,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
700 W 133RD ST,33.9113,-118.2878,9/10/2020 0:00,9/10/2020 0:00,1,18,Southeast,1851,1,44,F,B,SINGLE FAMILY DWELLING,104,AA,Adult Arrest,Crimes against Public Order,1
4TH ST,34.0672,-118.2992,9/12/2020 0:00,9/12/2020 0:00,1550,20,Olympic,2025,2,26,X,X,STREET,511,IC,Invest Cont,Crimes against Public Order,1
14500 VALERIO ST,34.2048,-118.4495,9/14/2020 0:00,9/13/2020 0:00,2215,9,Van Nuys,905,1,56,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",223,AA,Adult Arrest,Crimes against Persons,1
2900 E 4TH ST,34.0373,-118.2044,9/15/2020 0:00,9/15/2020 0:00,1630,4,Hollenbeck,467,1,0,X,X,OTHER STORE,218,IC,Invest Cont,Property Crimes,1
13400 BROMWICH PL,34.2382,-118.4256,9/16/2020 0:00,5/8/2020 0:00,42,19,Mission,1977,1,35,F,A,STREET,307,AA,Adult Arrest,Violent Crimes,1
6TH,34.0435,-118.2471,9/17/2020 0:00,9/16/2020 0:00,2049,1,Central,166,1,0,M,X,SIDEWALK,500,IC,Invest Cont,Violent Crimes,1
1500 COLORADO BL,34.1393,-118.1985,9/17/2020 0:00,9/17/2020 0:00,248,11,Northeast,1119,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
2000 W PICO BL,34.0491,-118.2823,9/17/2020 0:00,9/17/2020 0:00,1855,2,Rampart,281,1,0,X,X,CLOTHING STORE,216,AA,Adult Arrest,Property Crimes,1
7800 VAN NUYS BL,34.2117,-118.4488,9/18/2020 0:00,9/18/2020 0:00,1820,19,Mission,1995,1,22,X,X,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",400,AO,Adult Other,Property Crimes,1
2100 E 112TH ST,33.9334,-118.235,9/18/2020 0:00,9/18/2020 0:00,2320,18,Southeast,1849,2,0,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
900 N WESTERN AV,33.7501,-118.3092,9/18/2020 0:00,9/18/2020 0:00,1810,5,Harbor,541,1,0,X,X,DRUG STORE,200,IC,Invest Cont,Property Crimes,1
1600 W 38TH ST,34.0174,-118.311,9/19/2020 0:00,9/19/2020 0:00,920,3,Southwest,375,2,19,X,X,STREET,102,IC,Invest Cont,Crimes against Public Order,1
6900 DAY ST,34.2539,-118.2814,9/20/2020 0:00,9/19/2020 0:00,1100,16,Foothill,1658,1,73,M,O,SINGLE FAMILY DWELLING,205,AA,Adult Arrest,Violent Crimes,1
COLDWATER CANYON,34.1721,-118.4142,9/22/2020 0:00,9/19/2020 0:00,1,9,Van Nuys,939,1,25,M,O,STREET,500,IC,Invest Cont,Property Crimes,1
300 S SANTA FE AV,34.042,-118.2326,9/22/2020 0:00,9/22/2020 0:00,800,1,Central,139,2,0,X,X,SIDEWALK,400,IC,Invest Cont,Property Crimes,1
CENTRAL,34.0286,-118.2545,9/25/2020 0:00,9/25/2020 0:00,2344,13,Newton,1313,2,0,X,X,OTHER/OUTSIDE,500,IC,Invest Cont,Property Crimes,1
LOS ANGELES,34.0511,-118.2336,9/25/2020 0:00,9/25/2020 0:00,2015,1,Central,129,2,0,X,X,STREET,400,IC,Invest Cont,Property Crimes,1
59TH ST,33.9923,-118.287,9/25/2020 0:00,9/25/2020 0:00,2030,12,77th Street,1218,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
4TH ST,34.0671,-118.3259,9/27/2020 0:00,9/27/2020 0:00,40,7,Wilshire,739,1,52,M,A,SIDEWALK,101,IC,Invest Cont,Property Crimes,1
4100 VENICE BL,34.044,-118.3264,9/27/2020 0:00,9/27/2020 0:00,1945,7,Wilshire,778,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order,1
3200 CAHUENGA BL,34.1283,-118.346,9/28/2020 0:00,9/28/2020 0:00,514,6,Hollywood,615,2,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
14TH ST,34.0355,-118.2625,9/28/2020 0:00,9/28/2020 0:00,120,1,Central,195,2,0,X,X,"VEHICLE, PASSENGER/TRUCK",500,AA,Adult Arrest,Property Crimes,1
500 CHAUTAUQUA BL,34.0361,-118.5192,9/29/2020 0:00,9/28/2020 0:00,2200,8,West LA,824,1,83,F,A,GARAGE/CARPORT,500,IC,Invest Cont,Property Crimes,1
10600 S ST ANDREWS PL,33.9417,-118.3113,9/30/2020 0:00,9/30/2020 0:00,2320,12,77th Street,1293,1,79,F,B,SINGLE FAMILY DWELLING,102,IC,Invest Cont,Crimes against Public Order,1
FLOWER ST,33.979,-118.2839,10/2/2020 0:00,10/2/2020 0:00,1356,12,77th Street,1249,1,0,X,X,STREET,102,IC,Invest Cont,Violent Crimes,1
WINSTON ST,34.0457,-118.2457,10/6/2020 0:00,10/6/2020 0:00,30,1,Central,146,1,0,M,W,MINI-MART,312,AA,Adult Arrest,Property Crimes,1
FLIGHT DECK,34.0577,-118.2318,10/7/2020 0:00,8/22/2020 0:00,215,1,Central,119,2,0,X,X,OTHER PREMISE,500,IC,Invest Cont,Crimes against Public Order,1
4700 AUGUST ST,34.0173,-118.3505,10/7/2020 0:00,10/7/2020 0:00,10,3,Southwest,361,2,65,M,O,"VEHICLE, PASSENGER/TRUCK",400,AA,Adult Arrest,Property Crimes,1
96TH ST,33.949,-118.2462,10/8/2020 0:00,10/8/2020 0:00,1945,18,Southeast,1826,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
FIGUEROA ST,34.0419,-118.2669,10/11/2020 0:00,10/11/2020 0:00,2107,1,Central,182,1,0,X,X,STREET,212,IC,Invest Cont,Violent Crimes,1
MONA BL,33.9334,-118.2304,10/11/2020 0:00,10/11/2020 0:00,220,18,Southeast,1849,1,36,X,X,STREET,102,IC,Invest Cont,Violent Crimes,1
3100 WILSHIRE BL,34.0652,-118.2878,10/12/2020 0:00,10/10/2020 0:00,1355,20,Olympic,2029,1,0,X,X,OTHER BUSINESS,500,IC,Invest Cont,Property Crimes,1
400 E FLORENCE AV,33.9784,-118.263,10/14/2020 0:00,10/14/2020 0:00,1600,13,Newton,1395,1,0,X,X,CELL PHONE STORE,109,IC,Invest Cont,Property Crimes,1
1300 W 37TH PL,34.02,-118.2977,10/15/2020 0:00,2/27/2020 0:00,2300,3,Southwest,357,1,26,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes,1
