Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
6300 VARIEL AV;34,1847;-118,5928;1800;21;Topanga;2158;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
13200 CANTARA ST;34,2198;-118,4181;2100;15;N Hollywood;1501;1;27;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
2600 SAN MARINO ST;34,055;-118,2842;1855;20;Olympic;2058;2;47;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
1600 N FAIRFAX AV;34,0999;-118,3616;1628;6;Hollywood;642;2;30;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
400 N CORONADO ST;34,0732;-118,2728;2025;2;Rampart;216;2;22;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
400 N AVENUE 52;34,1107;-118,2027;2030;11;Northeast;1137;1;31;F;W;TRANSITIONAL HOUSING/HALFWAY HOUSE;None;None;IC;Invest Cont;Property Crimes
VICTORY;34,1867;-118,4487;1900;9;Van Nuys;923;2;0;M;W;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
700 S ALVARADO ST;34,0565;-118,2768;2310;2;Rampart;265;1;16;M;H;ALLEY;512;MACE/PEPPER SPRAY;AO;Adult Other;Property Crimes
11300 CHANDLER BL;34,1681;-118,3773;1200;15;N Hollywood;1548;2;67;M;W;OTHER BUSINESS;None;None;IC;Invest Cont;Other Crimes
600 S LA BREA AV;34,0649;-118,344;440;7;Wilshire;737;2;31;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
1300 S TOBERMAN ST;34,0439;-118,2761;2300;2;Rampart;299;2;39;M;H;OTHER/OUTSIDE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
800 W OLYMPIC BL;34,045;-118,264;125;1;Central;171;2;26;F;H;NIGHT CLUB (OPEN EVENINGS ONLY);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
700 W IMPERIAL HY;33,931;-118,287;2230;18;Southeast;1861;1;0;X;X;RESTAURANT/FAST FOOD;None;None;IC;Invest Cont;Property Crimes
SWEETZER AV;34,0709;-118,3703;2030;7;Wilshire;723;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
14500 NORDHOFF ST;34,2354;-118,4481;1230;19;Mission;1974;1;0;X;X;OTHER STORE;109;SEMI-AUTOMATIC PISTOL;IC;Invest Cont;Property Crimes
500 N FIGUEROA ST;34,0617;-118,2469;1900;1;Central;111;1;26;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
19600 W VENTURA BL;34,1728;-118,5603;1630;10;West Valley;1061;1;30;M;O;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Property Crimes
12600 HUNNEWELL AV;34,2994;-118,4169;1030;19;Mission;1907;2;53;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
7500 W HOLLYWOOD BL;34,1016;-118,3531;1250;6;Hollywood;643;1;0;X;X;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);219;SCREWDRIVER;IC;Invest Cont;Property Crimes
90TH ST;33,9551;-118,2827;1020;18;Southeast;1802;1;33;F;B;SIDEWALK;215;MACHETE;AO;Adult Other;Violent Crimes
1100 HYPERION AV;34,0917;-118,2796;100;11;Northeast;1171;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
400 N MOUNTAIN VIEW AV;34,07;-118,2671;1140;2;Rampart;217;1;26;M;I;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
6000 WHITSETT AV;34,1794;-118,4053;1755;15;N Hollywood;1532;1;56;M;O;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
10600 SAN FERNANDO RD;34,2627;-118,4185;1100;16;Foothill;1643;1;77;M;W;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
3900 ARCHDALE RD;34,1412;-118,4786;1815;10;West Valley;1099;2;69;F;W;BANK;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3300 KENNETH DR;34,0826;-118,1869;1200;4;Hollenbeck;427;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
900 S KINGSLEY DR;34,0518;-118,3031;200;20;Olympic;2054;1;27;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
12400 FILMORE ST;34,2858;-118,4024;1400;16;Foothill;1602;1;15;M;H;MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME;None;None;IC;Invest Cont;Property Crimes
1500 E 114TH ST;33,9311;-118,2479;1200;18;Southeast;1846;2;32;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
2100 E 102ND ST;33,9439;-118,2354;1950;18;Southeast;1829;2;39;F;B;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
5TH;34,0652;-118,2884;1700;20;Olympic;2029;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
15400 SHERMAN WY;34,2011;-118,4686;600;9;Van Nuys;911;1;38;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AO;Adult Other;Property Crimes
2900 LEEWARD AV;34,0587;-118,2891;1600;20;Olympic;2039;2;24;F;H;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
1700 LUCRETIA AV;34,0833;-118,2538;415;11;Northeast;1184;1;41;M;W;YARD (RESIDENTIAL/BUSINESS);None;None;IC;Invest Cont;Property Crimes
5300 LINDLEY AV;34,1675;-118,5273;1600;10;West Valley;1065;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
16000 VANOWEN ST;34,1939;-118,4815;2155;10;West Valley;1039;1;0;M;O;LIQUOR STORE;None;None;IC;Invest Cont;Property Crimes
DAY ST;34,2543;-118,2964;500;16;Foothill;1657;2;47;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
7200 VAN NUYS BL;34,2048;-118,4531;815;9;Van Nuys;905;1;62;F;O;MARKET;None;None;IC;Invest Cont;Property Crimes
800 S HUDSON AV;34,0609;-118,3337;1400;7;Wilshire;747;1;63;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
10700 MCVINE AV;34,2633;-118,3114;1400;16;Foothill;1637;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5700 OBAMA BL;34,0238;-118,3669;450;3;Southwest;321;2;63;M;O;PARKING LOT;None;None;AA;Adult Arrest;Property Crimes
2100 W WASHINGTON BL;34,04;-118,3062;1700;20;Olympic;2093;1;75;M;K;LAUNDROMAT;None;None;IC;Invest Cont;Property Crimes
23100 OSTRONIC DR;34,1653;-118,63;2359;21;Topanga;2173;1;42;F;W;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
9200 LANGDON AV;34,2377;-118,4698;2000;19;Mission;1961;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
9500 FIRTH BL;33,9501;-118,2477;1600;18;Southeast;1826;2;44;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
12TH PL;34,0447;-118,2747;1705;2;Rampart;289;2;0;X;X;STREET;None;None;IC;Invest Cont;Property Crimes
2900 S NORMANDIE AV;34,0286;-118,3002;1055;3;Southwest;337;2;33;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
16100 VICTORY BL;34,1903;-118,48;1945;10;West Valley;1039;1;51;M;H;MARKET;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;Crimes against Public Order
VERMONT AV;33,9678;-118,2918;2108;12;77th Street;1255;1;44;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
SPRING;34,0474;-118,2496;2200;1;Central;154;1;0;M;X;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
NORRIS;34,2688;-118,4146;40;16;Foothill;1623;1;22;M;H;STREET;102;HAND GUN;JA;Juv Arrest;Property Crimes
10800 BLIX ST;34,1567;-118,3661;1330;15;N Hollywood;1557;2;84;F;O;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
3200 SAWTELLE BL;34,0234;-118,4292;1130;14;Pacific;1425;1;22;M;C;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
5200 WILSHIRE BL;34,0622;-118,3429;200;7;Wilshire;737;1;21;F;W;SINGLE FAMILY DWELLING;200;KNIFE WITH BLADE 6INCHES OR LESS;AO;Adult Other;Violent Crimes
10200 SANTA MONICA BL;34,0605;-118,4193;1835;8;West LA;839;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
21900 SHERMAN WY;34,2047;-118,5994;2030;21;Topanga;2136;1;26;F;X;STREET;512;MACE/PEPPER SPRAY;IC;Invest Cont;Violent Crimes
700 S NORMANDIE AV;34,0596;-118,3022;900;20;Olympic;2034;2;46;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
800 W CESAR E CHAVEZ AV;34,0613;-118,2446;2353;1;Central;111;2;0;X;X;SIDEWALK;102;HAND GUN;IC;Invest Cont;Crimes against Public Order
2800 W PICO BL;34,0472;-118,301;1100;20;Olympic;2074;2;66;F;A;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5700 IRVINE AV;34,174;-118,3855;730;15;N Hollywood;1535;1;66;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
200 S CATALINA ST;34,0716;-118,2954;1740;20;Olympic;2017;1;32;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
19600 NORDHOFF ST;34,2355;-118,5602;1700;17;Devonshire;1764;1;49;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
8200 FOOTHILL BL;34,2634;-118,3074;130;16;Foothill;1637;1;0;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
3700 MENTONE AV;34,0222;-118,4068;1500;14;Pacific;1406;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
300 S BOYLE AV;34,0447;-118,2197;1900;4;Hollenbeck;454;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1900 W 78TH ST;33,9691;-118,3112;1700;12;77th Street;1253;1;45;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
5700 BENNER ST;34,1069;-118,1923;2215;11;Northeast;1139;1;30;F;W;STREET;None;None;IC;Invest Cont;Property Crimes
3600 WILSHIRE BL;34,0617;-118,3087;2000;20;Olympic;2033;1;35;M;O;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
400 S FIGUEROA ST;34,0535;-118,256;1745;1;Central;142;1;0;M;W;OTHER STORE;None;None;IC;Invest Cont;Property Crimes
600 WORLD WY;33,9429;-118,4032;1930;14;Pacific;1494;1;53;M;B;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
800 LACHMAN LN;34,0499;-118,5456;1700;8;West LA;811;1;74;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
6TH;34,0672;-118,2985;240;20;Olympic;2025;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
MASON AV;34,2573;-118,5798;1700;17;Devonshire;1723;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3700 MOTOR AV;34,0225;-118,4055;600;14;Pacific;1407;1;34;F;B;ALLEY;None;None;IC;Invest Cont;Property Crimes
6900 W MANCHESTER AV;33,9598;-118,4117;108;14;Pacific;1486;1;0;X;X;GOLF COURSE*;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
2800 SELBY AV;34,0343;-118,4203;730;8;West LA;893;1;64;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
7100 W MANCHESTER AV;33,9597;-118,417;1600;14;Pacific;1484;2;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
100 S CITRUS AV;34,071;-118,3397;1100;7;Wilshire;727;2;39;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
1200 S FLOWER ST;34,0415;-118,2654;749;1;Central;182;1;18;M;W;MTA - EXPO LINE - PICO;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
7500 MELROSE AV;34,0837;-118,3532;950;7;Wilshire;702;1;48;M;H;PHARMACY INSIDE STORE OR SUPERMARKET*;None;None;IC;Invest Cont;Property Crimes
SLAUSON AV;33,9892;-118,2783;320;13;Newton;1371;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1300 VENICE BL;34,0429;-118,282;1825;2;Rampart;291;1;64;M;H;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
ISABEL;34,0891;-118,2206;500;11;Northeast;1158;1;20;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
20800 EXHIBIT CT;34,1786;-118,5854;1700;21;Topanga;2158;1;64;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
11900 GOSHEN AV;34,0458;-118,4673;1100;8;West LA;831;1;23;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
42ND PL;34,0064;-118,2916;2345;3;Southwest;396;1;66;M;B;SIDEWALK;207;OTHER KNIFE;AA;Adult Arrest;Property Crimes
2900 LOS FELIZ BL;34,1367;-118,2713;1855;11;Northeast;1102;1;0;X;X;MEMBERSHIP STORE (COSTCO,SAMS CLUB)*;None;None;IC;Invest Cont;Property Crimes
1400 W 88TH ST;33,9583;-118,3003;2200;12;77th Street;1273;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
7300 ETON AV;34,2029;-118,5955;2330;21;Topanga;2136;2;42;M;H;VEHICLE, PASSENGER/TRUCK;None;None;AA;Adult Arrest;Property Crimes
11300 CHANDLER BL;34,1681;-118,3773;1;15;N Hollywood;1548;2;34;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
20500 W VENTURA BL;34,1685;-118,5777;2300;21;Topanga;2189;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
E 45TH ST;34,0025;-118,2653;130;13;Newton;1353;1;31;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
6000 DAVID AV;34,0367;-118,3754;2000;7;Wilshire;782;2;43;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
3100 RAYMOND AV;34,0268;-118,2981;1400;3;Southwest;337;1;25;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
700 S FIGUEROA ST;0;0;1215;1;Central;161;1;51;F;H;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
11000 VICTORY BL;34,1867;-118,3706;1318;15;N Hollywood;1527;1;0;M;O;DEPARTMENT STORE;None;None;AA;Adult Arrest;Property Crimes
1800 STONER AV;34,0389;-118,4533;1500;8;West LA;881;2;0;X;X;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY);None;None;IC;Invest Cont;Property Crimes
400 N MARINE AV;33,7741;-118,2633;1300;5;Harbor;525;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2400 FLETCHER DR;34,106;-118,2565;30;11;Northeast;1145;2;23;F;H;BAR/SPORTS BAR (OPEN DAY & NIGHT);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
800 E 24TH ST;34,0229;-118,2593;1100;13;Newton;1323;2;72;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5700 S GLENNIE LN;34,037;-118,3675;640;7;Wilshire;782;1;44;F;A;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
12900 BLOOMFIELD ST;34,1493;-118,4138;900;15;N Hollywood;1581;1;40;M;H;SINGLE FAMILY DWELLING;306;ROCK/THROWN OBJECT;AO;Adult Other;Violent Crimes
9100 SANDUSKY AV;34,2349;-118,4257;1400;19;Mission;1977;1;47;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
600 N SERRANO AV;34,0817;-118,3069;800;20;Olympic;2004;1;50;F;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
7600 GREG AV;34,2095;-118,3519;340;16;Foothill;1699;1;52;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
19700 MAGELLAN DR;33,852;-118,293;1200;5;Harbor;505;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
DEVONSHIRE ST;34,2574;-118,4816;1130;17;Devonshire;1749;1;25;M;H;STREET;302;BLUNT INSTRUMENT;IC;Invest Cont;Property Crimes
400 S LA CIENEGA BL;34,0735;-118,3828;40;7;Wilshire;721;2;39;F;W;HOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1600 MICHAEL LN;34,0786;-118,5641;800;8;West LA;801;1;52;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
1100 S NEW HAMPSHIRE AV;34,0491;-118,2926;300;20;Olympic;2056;1;0;X;X;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
4000 COCO AV;34,0136;-118,3501;30;3;Southwest;362;2;64;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
300 S GRAMERCY PL;34,0671;-118,3128;2200;20;Olympic;2022;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5400 HAROLD WY;34,0993;-118,3092;1000;6;Hollywood;648;1;37;F;W;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
5700 FAIR AV;34,174;-118,3746;2130;15;N Hollywood;1538;1;21;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
MONTECITO;34,0898;-118,2075;2145;4;Hollenbeck;401;1;44;M;H;STREET;204;FOLDING KNIFE;IC;Invest Cont;Crimes against Public Order
1900 WHITLEY AV;34,1052;-118,3333;1025;6;Hollywood;635;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
9500 MAIE AV;33,9502;-118,2445;125;18;Southeast;1826;2;0;X;X;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
11600 VANOWEN ST;34,1939;-118,3851;1210;15;N Hollywood;1516;2;72;M;W;OTHER BUSINESS;511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
900 FIGUEROA TR;34,0663;-118,2442;1900;1;Central;101;1;26;M;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
600 ROSE AV;33,9991;-118,4721;830;14;Pacific;1414;2;37;M;A;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3500 VERDUGO RD;34,1147;-118,2349;1710;11;Northeast;1135;2;34;F;H;GARAGE/CARPORT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
800 VALENCIA ST;34,0514;-118,2705;630;2;Rampart;269;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1200 E 7TH ST;34,0374;-118,242;1105;13;Newton;1307;2;31;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
13400 HUBBARD ST;34,3125;-118,4246;2200;19;Mission;1907;2;19;M;H;AUTO SUPPLY STORE*;None;None;IC;Invest Cont;Property Crimes
11000 VICTORY BL;34,1867;-118,3706;2126;15;N Hollywood;1527;1;0;M;W;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
9700 FRANKIRST AV;34,2469;-118,4888;1415;17;Devonshire;1777;2;67;M;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
1800 W 25TH ST;34,0337;-118,3031;730;3;Southwest;316;2;30;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AO;Adult Other;Property Crimes
8200 FAIR AV;34,2193;-118,3747;1620;16;Foothill;1687;2;31;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
11100 AVALON BL;33,9348;-118,2652;1200;18;Southeast;1844;1;57;M;H;YARD (RESIDENTIAL/BUSINESS);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
900 E 20TH ST;34,0259;-118,2561;1200;13;Newton;1313;2;16;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Violent Crimes
200 WINSTON ST;34,0467;-118,247;1000;1;Central;146;1;52;F;A;BEAUTY SUPPLY STORE;None;None;IC;Invest Cont;Property Crimes
100 WORLD WY;33,9455;-118,4006;210;14;Pacific;1494;2;51;M;O;TRANSPORTATION FACILITY (AIRPORT);None;None;IC;Invest Cont;Property Crimes
2400 CORINTH AV;34,0343;-118,4393;100;8;West LA;892;2;22;F;A;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1500 W 80TH ST;33,9664;-118,3046;1730;12;77th Street;1265;1;36;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);302;BLUNT INSTRUMENT;AO;Adult Other;Violent Crimes
1200 VINE ST;34,0926;-118,3266;1;6;Hollywood;666;1;0;X;X;DRUG STORE;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
300 LECOUVREUR AV;33,7739;-118,2555;130;5;Harbor;529;1;0;X;X;STREET;None;None;IC;Invest Cont;Property Crimes
300 E MANCHESTER AV;33,9601;-118,2695;1230;18;Southeast;1803;1;0;X;X;MARKET;None;None;IC;Invest Cont;Property Crimes
16600 BIENVENEDA PL;34,0601;-118,5436;1;8;West LA;811;1;52;M;W;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
10000 S VERMONT AV;33,9455;-118,2916;1450;18;Southeast;1821;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
WILSHIRE;34,0491;-118,4609;1630;8;West LA;842;2;30;M;O;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
800 S GRAMERCY DR;34,0581;-118,3122;1120;20;Olympic;2042;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
7100 W 85TH ST;33,9606;-118,4178;2100;14;Pacific;1474;2;28;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
9200 AIRPORT BL;33,9523;-118,3906;1035;14;Pacific;1495;2;0;X;X;OTHER BUSINESS;None;None;AO;Adult Other;Fraud and White-Collar Crimes
6TH ST;34,0629;-118,2823;1700;2;Rampart;251;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3000 W 8TH ST;34,0598;-118,2935;1700;20;Olympic;2036;2;15;F;H;OTHER STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Crimes against Persons
4TH ST;34,0672;-118,2966;1800;20;Olympic;2026;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
KENILWORTH AV;34,0991;-118,2672;1800;11;Northeast;1144;1;57;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
4000 WOODLAWN AV;34,009;-118,2728;1930;13;Newton;1354;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
15400 GLENOAKS BL;34,3232;-118,4695;1000;19;Mission;1901;2;20;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
DUDLEY;33,994;-118,4799;2100;14;Pacific;1412;1;45;M;H;BEACH;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
2000 W MARTIN LUTHER KING BL;34,0146;-118,313;1745;3;Southwest;375;1;19;X;X;LIQUOR STORE;None;None;IC;Invest Cont;Property Crimes
5900 W HOLLYWOOD BL;34,103;-118,3225;1615;6;Hollywood;637;2;30;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
800 S HILL ST;34,0462;-118,2585;1145;1;Central;162;1;50;M;H;BANK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
20900 VENTURA BL;34,1664;-118,5882;200;21;Topanga;2187;1;33;M;W;OTHER BUSINESS;102;HAND GUN;AO;Adult Other;Violent Crimes
500 N ROSSMORE AV;34,079;-118,3273;625;7;Wilshire;719;1;38;M;O;MEMBERSHIP STORE (COSTCO,SAMS CLUB)*;None;None;IC;Invest Cont;Property Crimes
11300 S BROADWAY;33,932;-118,2785;1734;18;Southeast;1842;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
5000 CLINTON ST;34,0817;-118,3112;1000;20;Olympic;2002;2;44;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
6000 BRYNHURST AV;33,9829;-118,3338;1900;12;77th Street;1241;1;59;M;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1300 W 7TH ST;34,0552;-118,2675;530;2;Rampart;257;1;19;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1500 S GRAND AV;33,7306;-118,2902;1700;5;Harbor;563;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
12900 FOOTHILL BL;34,2973;-118,409;1804;19;Mission;1919;2;49;M;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
19700 VANOWEN ST;34,1938;-118,5631;1210;21;Topanga;2149;1;22;M;X;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
