Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category
1300 N ORANGE DR,34.0943,-118.3415,4/5/2023 0:00,9/1/2020 0:00,1600,6,Hollywood,645,1,28,F,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
500 S CORONADO ST,34.0628,-118.2811,4/6/2020 0:00,3/21/2020 0:00,200,2,Rampart,251,2,41,M,W,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
400 E 5TH ST,34.0453,-118.2443,4/6/2020 0:00,4/4/2020 0:00,1300,1,Central,147,2,65,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
3800 SHANNON RD,34.1193,-118.2777,4/6/2020 0:00,4/5/2020 0:00,1230,11,Northeast,1132,2,30,M,W,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes
SHERMAN WY,34.2012,-118.4225,4/6/2020 0:00,4/5/2020 0:00,1415,15,N Hollywood,1521,2,41,M,W,MINI-MART,400,IC,Invest Cont,Violent Crimes
11400 CROESUS AV,33.9315,-118.2335,4/6/2020 0:00,4/5/2020 0:00,1230,18,Southeast,1849,2,26,F,B,SINGLE FAMILY DWELLING,511,IC,Invest Cont,Crimes against Public Order
9000 WALL ST,33.9547,-118.2717,4/6/2020 0:00,4/6/2020 0:00,1740,18,Southeast,1805,1,29,F,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Crimes against Public Order
19900 VENTURA BL,34.1723,-118.5659,4/6/2020 0:00,4/6/2020 0:00,1315,21,Topanga,2189,2,67,M,W,PARKING LOT,400,AO,Adult Other,Violent Crimes
1700 W 6TH ST,34.0573,-118.2699,4/6/2020 0:00,4/6/2020 0:00,1945,2,Rampart,256,1,43,M,H,PARKING LOT,215,AA,Adult Arrest,Violent Crimes
9300 S MAIN ST,33.9519,-118.2739,4/6/2020 0:00,4/6/2020 0:00,1730,18,Southeast,1822,2,47,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
10800 GORMAN AV,33.9372,-118.2312,4/6/2020 0:00,4/6/2020 0:00,1630,18,Southeast,1839,2,22,F,H,SINGLE FAMILY DWELLING,301,AA,Adult Arrest,Violent Crimes
5200 RUTHELEN ST,33.9951,-118.3126,4/6/2020 0:00,4/6/2020 0:00,2050,12,77th Street,1213,1,10,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,IC,Invest Cont,Crimes against Public Order
57TH ST,33.9906,-118.3089,4/6/2020 0:00,4/6/2020 0:00,750,12,77th Street,1213,1,32,M,B,STREET,102,IC,Invest Cont,Violent Crimes
4300 MELROSE AV,34.0873,-118.296,4/6/2020 0:00,4/6/2020 0:00,1806,2,Rampart,201,1,52,M,H,PARKING LOT,113,IC,Invest Cont,Property Crimes
2300 W 23RD ST,34.036,-118.3148,4/6/2020 0:00,4/6/2020 0:00,2020,3,Southwest,315,2,36,M,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
500 W 74TH ST,33.9727,-118.2827,4/6/2020 0:00,4/6/2020 0:00,1,12,77th Street,1256,1,34,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,IC,Invest Cont,Crimes against Public Order
300 W ADAMS BL,34.0238,-118.3669,4/7/2020 0:00,4/5/2020 0:00,2100,3,Southwest,321,2,20,F,B,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
4200 2ND AV,34.0073,-118.3193,4/7/2020 0:00,4/6/2020 0:00,1700,3,Southwest,394,1,36,M,B,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Violent Crimes
VAN NUYS BL,34.1817,-118.4487,4/7/2020 0:00,4/6/2020 0:00,1715,9,Van Nuys,935,2,66,F,W,SIDEWALK,400,IC,Invest Cont,Violent Crimes
11200 SANTA MONICA BL,34.0452,-118.453,4/7/2020 0:00,4/7/2020 0:00,1855,8,West LA,853,2,40,M,H,OTHER BUSINESS,500,IC,Invest Cont,Violent Crimes
200 W 98TH ST,33.9474,-118.2768,4/7/2020 0:00,4/7/2020 0:00,1700,18,Southeast,1822,2,47,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
4TH,34.0357,-118.2007,4/7/2020 0:00,4/7/2020 0:00,1000,4,Hollenbeck,468,1,16,F,H,STREET,400,AO,Adult Other,Violent Crimes
1600 N FRIES AV,33.7953,-118.2661,4/7/2020 0:00,4/7/2020 0:00,1200,5,Harbor,515,2,65,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
1900 E 112TH ST,33.9335,-118.239,4/7/2020 0:00,4/7/2020 0:00,1950,18,Southeast,1849,2,38,M,H,"VEHICLE, PASSENGER/TRUCK",500,IC,Invest Cont,Property Crimes
5100 HUNTINGTON DR,34.09,-118.1678,4/7/2020 0:00,4/7/2020 0:00,1530,4,Hollenbeck,409,2,0,M,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,IC,Invest Cont,Property Crimes
2700 W OLYMPIC BL,34.0526,-118.2916,4/7/2020 0:00,4/7/2020 0:00,1210,20,Olympic,2056,2,57,F,K,PARKING LOT,400,IC,Invest Cont,Violent Crimes
4100 SOMERSET DR,34.0116,-118.3412,4/7/2020 0:00,4/7/2020 0:00,1955,3,Southwest,363,2,32,F,H,STREET,400,IC,Invest Cont,Violent Crimes
LA BREA AV,34.0762,-118.3441,4/7/2020 0:00,4/7/2020 0:00,1325,7,Wilshire,726,1,54,M,W,MTA BUS,400,AO,Adult Other,Violent Crimes
500 W 51ST ST,33.9965,-118.2827,4/8/2020 0:00,4/6/2020 0:00,200,12,77th Street,1208,2,50,F,B,STREET,400,IC,Invest Cont,Violent Crimes
200 LUCAS AV,34.0609,-118.26,4/8/2020 0:00,4/7/2020 0:00,2000,2,Rampart,237,2,29,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
1600 CORTEZ ST,34.0673,-118.2607,4/8/2020 0:00,4/7/2020 0:00,1700,2,Rampart,237,2,76,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
600 SAN PASCUAL AV,34.1172,-118.1738,4/8/2020 0:00,4/7/2020 0:00,1715,11,Northeast,1129,1,24,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
5600 MELROSE AV,34.0853,-118.3277,4/8/2020 0:00,4/7/2020 0:00,1000,6,Hollywood,676,2,62,M,O,,400,IC,Invest Cont,Violent Crimes
10100 BARTEE AV,34.2537,-118.4355,4/8/2020 0:00,4/8/2020 0:00,2055,19,Mission,1959,2,15,M,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
500 SAN JULIAN ST,34.0429,-118.2462,4/8/2020 0:00,4/8/2020 0:00,900,1,Central,156,2,58,M,B,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,400,AO,Adult Other,Violent Crimes
1200 5TH AV,34.0494,-118.3216,4/8/2020 0:00,4/8/2020 0:00,1815,7,Wilshire,759,1,46,F,A,DRIVEWAY,400,IC,Invest Cont,Property Crimes
16500 VANOWEN ST,34.1939,-118.4924,4/8/2020 0:00,4/8/2020 0:00,2215,10,West Valley,1028,2,62,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
1300 S HOPE ST,34.0395,-118.2656,4/8/2020 0:00,4/8/2020 0:00,2300,1,Central,192,2,31,F,W,HOSPITAL,500,AO,Adult Other,Violent Crimes
400 S SAN PEDRO ST,34.0458,-118.243,4/8/2020 0:00,4/8/2020 0:00,1430,1,Central,148,2,56,F,W,SIDEWALK,500,IC,Invest Cont,Violent Crimes
300 E 119TH ST,33.9247,-118.2696,4/8/2020 0:00,4/8/2020 0:00,2215,18,Southeast,1863,1,27,M,B,DRIVEWAY,102,IC,Invest Cont,Violent Crimes
1000 N MARIPOSA AV,34.0891,-118.2992,4/8/2020 0:00,4/8/2020 0:00,605,2,Rampart,201,1,31,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201,AA,Adult Arrest,Violent Crimes
1900 S CORNING ST,34.0432,-118.3796,4/8/2020 0:00,4/8/2020 0:00,1000,8,West LA,889,2,29,M,W,YARD (RESIDENTIAL/BUSINESS),511,AO,Adult Other,Crimes against Public Order
8200 S GRAND AV,33.9651,-118.2804,4/8/2020 0:00,4/8/2020 0:00,425,12,77th Street,1266,1,20,M,H,STREET,106,IC,Invest Cont,Property Crimes
1600 E 108TH ST,33.9378,-118.2462,4/8/2020 0:00,4/8/2020 0:00,1320,18,Southeast,1837,2,0,X,X,ABANDONED BUILDING ABANDONED HOUSE,506,IC,Invest Cont,Property Crimes
300 W AVENUE 26,34.0798,-118.2184,4/8/2020 0:00,4/8/2020 0:00,330,4,Hollenbeck,412,1,32,M,H,MTA - GOLD LINE - LINCOLN/CYPRESS,511,IC,Invest Cont,Property Crimes
2300 12TH AV,34.0362,-118.3308,4/8/2020 0:00,4/8/2020 0:00,1520,7,Wilshire,788,1,56,M,B,STREET,500,IC,Invest Cont,Violent Crimes
HOOPER AV,34.0172,-118.2442,4/8/2020 0:00,4/8/2020 0:00,1730,13,Newton,1327,1,39,M,H,STREET,204,IC,Invest Cont,Crimes against Public Order
6TH ST,34.0509,-118.2585,4/8/2020 0:00,4/8/2020 0:00,1100,1,Central,152,1,79,M,B,SIDEWALK,400,IC,Invest Cont,Property Crimes
10300 S BROADWAY,33.9428,-118.2781,4/8/2020 0:00,4/8/2020 0:00,2315,18,Southeast,1822,2,56,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Property Crimes
11900 PHILLIPPI AV,34.2865,-118.4159,4/8/2020 0:00,4/8/2020 0:00,2145,16,Foothill,1601,2,45,F,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
12600 VENTURA BL,34.1437,-118.4074,4/9/2020 0:00,4/6/2020 0:00,1000,15,N Hollywood,1591,1,0,M,O,NAIL SALON,500,AA,Adult Arrest,Property Crimes
600 E 8TH ST,34.0394,-118.2496,4/9/2020 0:00,4/8/2020 0:00,1300,1,Central,176,1,0,X,X,NURSERY/FLOWER SHOP,500,IC,Invest Cont,Property Crimes
200 S CATALINA ST,34.0709,-118.2954,4/9/2020 0:00,4/8/2020 0:00,2350,20,Olympic,2017,2,27,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
PARTHENIA ST,34.2282,-118.5976,4/9/2020 0:00,4/8/2020 0:00,1900,21,Topanga,2105,1,46,M,O,SIDEWALK,207,IC,Invest Cont,Property Crimes
5TH,34.0442,-118.2439,4/9/2020 0:00,4/9/2020 0:00,330,1,Central,148,1,53,M,B,STREET,207,IC,Invest Cont,Violent Crimes
14500 NORDHOFF ST,34.2354,-118.4481,4/9/2020 0:00,4/9/2020 0:00,1230,19,Mission,1974,1,0,X,X,OTHER STORE,109,IC,Invest Cont,Property Crimes
700 S UNION AV,34.0535,-118.2714,4/9/2020 0:00,4/9/2020 0:00,2325,2,Rampart,269,1,38,M,H,SIDEWALK,109,AO,Adult Other,Property Crimes
1200 S OLIVE ST,34.0395,-118.2622,4/9/2020 0:00,4/9/2020 0:00,1445,1,Central,182,2,0,X,X,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,AA,Adult Arrest,Property Crimes
1200 W 39TH ST,34.0155,-118.2975,4/9/2020 0:00,4/9/2020 0:00,800,3,Southwest,377,2,31,F,B,STREET,400,IC,Invest Cont,Violent Crimes
3400 W 2ND ST,34.0704,-118.2898,4/9/2020 0:00,4/9/2020 0:00,1300,20,Olympic,2019,2,20,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
5700 S FIGUEROA ST,33.9923,-118.287,4/9/2020 0:00,4/9/2020 0:00,1200,12,77th Street,1218,2,35,F,H,HOTEL,400,AO,Adult Other,Violent Crimes
21000 PLUMMER ST,34.2427,-118.5907,4/9/2020 0:00,4/9/2020 0:00,1500,17,Devonshire,1771,2,18,M,H,GROUP HOME,400,JO,Juv Other,Violent Crimes
5300 CANOGA AV,34.166,-118.5971,4/9/2020 0:00,4/9/2020 0:00,1235,21,Topanga,2187,1,0,M,W,GAS STATION,511,AA,Adult Arrest,Property Crimes
1200 S GRAND AV,34.0401,-118.2633,4/9/2023 0:00,7/17/2020 0:00,2300,1,Central,182,1,23,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
600 N AVE 56,34.1159,-118.1976,4/10/2020 0:00,3/20/2020 0:00,1237,11,Northeast,1118,2,35,F,H,SIDEWALK,400,AO,Adult Other,Violent Crimes
6000 SPRINGVALE DR,34.1228,-118.1898,4/10/2020 0:00,4/4/2020 0:00,637,11,Northeast,1107,2,43,M,W,SINGLE FAMILY DWELLING,306,IC,Invest Cont,Property Crimes
117TH,33.9347,-118.2761,4/10/2020 0:00,4/5/2020 0:00,1740,18,Southeast,1842,1,32,F,H,STREET,109,IC,Invest Cont,Violent Crimes
12300 WILSHIRE BL,34.0473,-118.4768,4/10/2020 0:00,4/7/2020 0:00,700,8,West LA,831,2,56,M,O,OFFICE BUILDING/OFFICE,511,AO,Adult Other,Crimes against Public Order
12300 WILSHIRE BL,34.0473,-118.4768,4/10/2020 0:00,4/7/2020 0:00,700,8,West LA,831,2,22,F,W,OFFICE BUILDING/OFFICE,511,AO,Adult Other,Crimes against Public Order
5800 ROLLING RD,34.1759,-118.6084,4/10/2020 0:00,4/8/2020 0:00,2200,21,Topanga,2175,2,43,F,W,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes
1600 W JEFFERSON BL,34.0273,-118.3024,4/10/2020 0:00,4/9/2020 0:00,2230,3,Southwest,337,2,30,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,AA,Adult Arrest,Violent Crimes
17800 HATTON ST,34.21,-118.5206,4/10/2020 0:00,4/10/2020 0:00,245,10,West Valley,1005,2,18,F,W,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
5300 S VERMONT AV,33.9921,-118.298,4/10/2020 0:00,4/10/2020 0:00,1240,12,77th Street,1215,1,0,X,X,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",400,IC,Invest Cont,Property Crimes
200 E 79TH ST,33.9679,-118.2717,4/10/2020 0:00,4/10/2020 0:00,1420,12,77th Street,1268,1,69,F,H,SIDEWALK,500,IC,Invest Cont,Violent Crimes
15500 VALERIO ST,34.2049,-118.4706,4/10/2020 0:00,4/10/2020 0:00,1305,9,Van Nuys,901,1,53,M,B,SINGLE FAMILY DWELLING,500,AO,Adult Other,Crimes against Public Order
226TH,33.8213,-118.3064,4/10/2020 0:00,4/10/2020 0:00,1825,5,Harbor,507,1,22,F,H,STREET,102,IC,Invest Cont,Violent Crimes
1400 W MARTIN LUTHER KING JR BL,34.0145,-118.3045,4/10/2020 0:00,4/10/2020 0:00,2115,3,Southwest,376,2,32,F,B,PARKING LOT,400,AO,Adult Other,Violent Crimes
MELROSE,34.0835,-118.3266,4/10/2020 0:00,4/10/2020 0:00,1445,7,Wilshire,719,1,59,M,B,BUS STOP,215,AA,Adult Arrest,Violent Crimes
200 E CENTURY BL,33.9456,-118.2717,4/10/2020 0:00,4/10/2020 0:00,1300,18,Southeast,1823,2,41,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,IC,Invest Cont,Crimes against Public Order
200 S AVENUE 63,34.1136,-118.1836,4/10/2020 0:00,4/10/2020 0:00,2000,11,Northeast,1139,1,23,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,AA,Adult Arrest,Violent Crimes
ADAIR,34.0286,-118.2545,4/11/2020 0:00,4/9/2020 0:00,1500,13,Newton,1313,2,28,M,W,STREET,400,IC,Invest Cont,Violent Crimes
12900 HUSTON ST,34.1594,-118.4149,4/11/2020 0:00,4/10/2020 0:00,1420,9,Van Nuys,969,2,15,F,B,YARD (RESIDENTIAL/BUSINESS),400,AO,Adult Other,Crimes against Persons
4700 WILLIS AV,34.156,-118.4552,4/11/2020 0:00,4/10/2020 0:00,2000,9,Van Nuys,974,1,33,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
4600 W AVENUE 46,34.1283,-118.2299,4/11/2020 0:00,4/10/2020 0:00,515,11,Northeast,1112,2,50,F,W,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
DETROIT ST,34.098,-118.3456,4/11/2020 0:00,4/10/2020 0:00,2020,6,Hollywood,643,1,43,M,W,TRANSIENT ENCAMPMENT,207,AA,Adult Arrest,Violent Crimes
VERMONT,34.1012,-118.2918,4/11/2020 0:00,4/10/2020 0:00,2208,11,Northeast,1151,2,45,M,H,MTA BUS,500,IC,Invest Cont,Violent Crimes
700 S BROADWAY,34.0444,-118.2541,4/11/2020 0:00,4/11/2020 0:00,2312,1,Central,163,2,28,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
21800 OXNARD ST,34.1792,-118.603,4/11/2020 0:00,4/11/2020 0:00,530,21,Topanga,2177,1,39,M,W,HOTEL,500,AA,Adult Arrest,Violent Crimes
10800 WEYBURN AV,34.0623,-118.4434,4/11/2020 0:00,4/11/2020 0:00,1030,8,West LA,817,1,36,M,W,MARKET,511,IC,Invest Cont,Property Crimes
LONG BEACH,33.9994,-118.2431,4/11/2020 0:00,4/11/2020 0:00,1750,13,Newton,1367,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order
2400 N BEACHWOOD DR,34.1133,-118.3215,4/11/2020 0:00,4/11/2020 0:00,1200,6,Hollywood,627,1,49,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Property Crimes
27TH ST,34.0129,-118.2454,4/11/2020 0:00,4/11/2020 0:00,2000,13,Newton,1347,1,19,F,H,STREET,109,IC,Invest Cont,Property Crimes
6200 LANKERSHIM BL,34.1831,-118.3856,4/11/2020 0:00,4/11/2020 0:00,945,15,N Hollywood,1526,1,30,M,W,SIDEWALK,223,AA,Adult Arrest,Property Crimes
200 E 84TH ST,33.9628,-118.2717,4/11/2020 0:00,4/11/2020 0:00,340,12,77th Street,1268,2,23,F,H,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
400 HAUSER BL,34.0673,-118.3499,4/11/2020 0:00,4/11/2020 0:00,1930,7,Wilshire,734,2,29,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
RAYMOND,33.9859,-118.298,4/11/2020 0:00,4/11/2020 0:00,2025,12,77th Street,1235,1,0,X,X,STREET,500,AA,Adult Arrest,Property Crimes
6000 FRANKLIN AV,34.1084,-118.3213,4/12/2020 0:00,4/10/2020 0:00,1400,6,Hollywood,628,1,21,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
10800 S VERMONT AV,33.9382,-118.2916,4/12/2020 0:00,4/12/2020 0:00,1425,18,Southeast,1841,2,50,X,X,LAUNDROMAT,308,IC,Invest Cont,Property Crimes
18400 COLLINS ST,34.1749,-118.5344,4/12/2020 0:00,4/12/2020 0:00,40,10,West Valley,1044,1,32,M,H,STREET,207,AA,Adult Arrest,Violent Crimes
VALJEAN,34.2366,-118.4872,4/12/2020 0:00,4/12/2020 0:00,2005,17,Devonshire,1777,1,32,M,H,SIDEWALK,102,IC,Invest Cont,Property Crimes
200 E 6TH ST,34.0448,-118.2474,4/12/2020 0:00,4/12/2020 0:00,2140,1,Central,155,2,51,M,W,SIDEWALK,400,IC,Invest Cont,Violent Crimes
4200 MONTCLAIR ST,34.0333,-118.3311,4/12/2020 0:00,4/12/2020 0:00,400,3,Southwest,313,1,55,M,B,STREET,400,IC,Invest Cont,Property Crimes
200 BOYD ST,34.0478,-118.2454,4/12/2020 0:00,4/12/2020 0:00,1300,1,Central,138,2,37,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
KESTER AV,34.1976,-118.4574,4/12/2020 0:00,4/12/2020 0:00,445,9,Van Nuys,914,2,32,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
15700 VOSE ST,34.1985,-118.4749,4/12/2020 0:00,4/12/2020 0:00,2040,10,West Valley,1029,2,0,M,O,STREET,102,IC,Invest Cont,Crimes against Public Order
1500 MAGNOLIA AV,34.0447,-118.2864,4/12/2020 0:00,4/12/2020 0:00,2025,20,Olympic,2079,2,23,F,H,SINGLE FAMILY DWELLING,515,AA,Adult Arrest,Crimes against Public Order
500 S CARONDELET ST,34.0627,-118.2782,4/12/2020 0:00,4/12/2020 0:00,1755,2,Rampart,245,2,39,M,H,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes
8100 LANGDON AV,34.218,-118.4688,4/12/2020 0:00,4/12/2020 0:00,340,19,Mission,1991,2,26,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
3200 MOTOR AV,34.031,-118.411,4/12/2020 0:00,4/12/2020 0:00,2005,8,West LA,895,1,15,F,H,GROUP HOME,400,JA,Juv Arrest,Violent Crimes
1900 S PACIFIC AV,33.727,-118.288,4/12/2020 0:00,4/12/2020 0:00,1345,5,Harbor,567,2,52,F,W,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
600 W 4TH ST,33.7406,-118.2902,4/12/2020 0:00,4/12/2020 0:00,1010,5,Harbor,557,2,60,F,W,SINGLE FAMILY DWELLING,500,AO,Adult Other,Violent Crimes
6300 FULTON AV,34.1814,-118.4263,4/12/2020 0:00,4/12/2020 0:00,1630,9,Van Nuys,938,1,42,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Property Crimes
600 S ALVARADO ST,34.0596,-118.2749,4/12/2020 0:00,4/12/2020 0:00,1005,2,Rampart,246,1,43,F,H,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,400,IC,Invest Cont,Property Crimes
66TH,33.9798,-118.2827,4/13/2020 0:00,3/10/2020 0:00,230,12,77th Street,1249,1,18,F,H,STREET,400,IC,Invest Cont,Violent Crimes
2300 RESERVOIR ST,34.0804,-118.2658,4/13/2020 0:00,4/10/2020 0:00,1800,11,Northeast,1181,1,69,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,AA,Adult Arrest,Crimes against Public Order
MERIDIAN ST,34.1202,-118.185,4/13/2020 0:00,4/11/2020 0:00,2240,11,Northeast,1127,1,21,M,H,SIDEWALK,113,IC,Invest Cont,Property Crimes
5900 RIVERTON AV,34.1776,-118.3659,4/13/2020 0:00,4/12/2020 0:00,2130,15,N Hollywood,1539,2,52,F,W,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Property Crimes
4700 COLISEUM ST,34.0177,-118.3488,4/13/2020 0:00,4/12/2020 0:00,2100,3,Southwest,362,2,31,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
WILSHIRE BL,34.058,-118.2759,4/13/2020 0:00,4/12/2020 0:00,2130,2,Rampart,246,1,38,M,W,SIDEWALK,302,IC,Invest Cont,Violent Crimes
700 S ORANGE DR,34.0622,-118.3418,4/13/2020 0:00,4/12/2020 0:00,2326,7,Wilshire,737,1,65,M,O,SINGLE FAMILY DWELLING,101,IC,Invest Cont,Property Crimes
5TH,34.0481,-118.2507,4/13/2020 0:00,4/13/2020 0:00,1605,1,Central,153,1,51,M,B,SIDEWALK,512,IC,Invest Cont,Violent Crimes
6700 DE SOTO AV,34.1921,-118.5884,4/13/2020 0:00,4/13/2020 0:00,815,21,Topanga,2157,2,30,M,X,SINGLE FAMILY DWELLING,400,IC,Invest Cont,Violent Crimes
6100 MESA AV,34.1157,-118.1912,4/13/2020 0:00,4/13/2020 0:00,930,11,Northeast,1138,2,23,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
900 W 50TH PL,33.997,-118.2886,4/13/2020 0:00,4/13/2020 0:00,100,12,77th Street,1207,2,42,F,H,SIDEWALK,400,AO,Adult Other,Violent Crimes
300 S HOBART BL,34.069,-118.3054,4/13/2020 0:00,4/13/2020 0:00,1700,20,Olympic,2023,1,20,M,H,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes
10400 ANTWERP ST,33.9417,-118.2486,4/13/2020 0:00,4/13/2020 0:00,845,18,Southeast,1836,2,63,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
3900 ROXANNE AV,34.0162,-118.3482,4/13/2020 0:00,4/13/2020 0:00,1230,3,Southwest,362,2,76,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
6200 S BROADWAY,33.9789,-118.2795,4/13/2020 0:00,4/13/2020 0:00,1410,13,Newton,1391,1,39,M,H,PARKING LOT,109,AA,Adult Arrest,Property Crimes
11200 RICHLAND AV,34.033,-118.4324,4/13/2020 0:00,4/13/2020 0:00,1200,8,West LA,893,2,24,F,B,SINGLE FAMILY DWELLING,511,IC,Invest Cont,Crimes against Public Order
1400 W 59TH PL,33.9867,-118.3002,4/13/2020 0:00,4/13/2020 0:00,1500,12,77th Street,1235,1,23,F,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
1800 S BONNIE BRAE ST,34.0444,-118.2827,4/14/2020 0:00,1/3/2020 0:00,1630,2,Rampart,291,2,14,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
1700 BUCKINGHAM RD,34.0437,-118.3342,4/14/2020 0:00,4/5/2020 0:00,1930,7,Wilshire,777,1,34,F,H,SINGLE FAMILY DWELLING,212,IC,Invest Cont,Violent Crimes
500 E 6TH ST,34.0423,-118.2452,4/14/2020 0:00,4/12/2020 0:00,1900,1,Central,157,2,30,M,W,SIDEWALK,400,IC,Invest Cont,Violent Crimes
2700 RESERVOIR ST,34.082,-118.2694,4/14/2020 0:00,4/13/2020 0:00,1930,11,Northeast,1181,1,34,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AA,Adult Arrest,Violent Crimes
1200 S FLOWER ST,34.0415,-118.2654,4/14/2020 0:00,4/14/2020 0:00,2130,1,Central,182,1,66,M,O,MTA - BLUE LINE - PICO,200,IC,Invest Cont,Crimes against Public Order
1200 S ALVARADO ST,34.0488,-118.2817,4/14/2020 0:00,4/14/2020 0:00,1425,2,Rampart,281,2,40,M,W,NURSING/CONVALESCENT/RETIREMENT HOME,400,IC,Invest Cont,Violent Crimes
